Emp_ID,FirstName,LastName,JobTitle,BirthDate,HireDate
44,Simon,Rapier,Production Technician - WC60,1990-05-17,2008-12-08
45,Thomas,Michaels,Production Technician - WC60,1986-01-10,2009-02-26
46,Eugene,Kogan,Production Technician - WC60,1976-02-10,2009-02-08
47,Andrew,Hill,Production Supervisor - WC10,1988-09-06,2009-02-22
48,Ruth,Ellerbrock,Production Technician - WC10,1956-06-04,2008-01-06
49,Barry,Johnson,Production Technician - WC10,1956-03-26,2008-01-07
50,Sidney,Higa,Production Technician - WC10,1956-08-30,2008-02-02
51,Jeffrey,Ford,Production Technician - WC10,1956-07-11,2008-02-20
52,Doris,Hartwig,Production Technician - WC10,1956-04-04,2008-03-10
53,Diane,Glimp,Production Technician - WC10,1956-03-29,2008-03-28
54,Bonnie,Kearney,Production Technician - WC10,1986-09-10,2010-01-01
55,Taylor,Maxwell,Production Supervisor - WC50,1956-04-01,2008-02-08
56,Denise,Smith,Production Technician - WC50,1988-07-06,2009-02-05
57,Frank,Miller,Production Technician - WC50,1971-07-24,2009-02-23
58,Kendall,Keil,Production Technician - WC50,1986-05-30,2008-12-05
59,Bob,Hohman,Production Technician - WC50,1979-08-16,2008-12-24
60,Pete,Male,Production Technician - WC50,1977-02-03,2009-01-11
61,Diane,Tibbott,Production Technician - WC50,1989-08-09,2009-01-18
62,John,Campbell,Production Supervisor - WC60,1956-08-07,2008-03-17
63,Maciej,Dusza,Production Technician - WC60,1955-01-30,2010-01-29
64,Michael,Zwilling,Production Technician - WC60,1973-09-05,2010-02-23
65,Randy,Reeves,Production Technician - WC60,1970-04-28,2010-02-23
66,Karan,Khanna,Production Technician - WC60,1970-03-07,2009-12-22
67,Jay,Adams,Production Technician - WC60,1976-02-11,2009-03-05
68,Charles,Fitzgerald,Production Technician - WC60,1971-09-02,2009-12-03
69,Steve,Masters,Production Technician - WC60,1991-04-06,2009-02-15
70,David,Ortiz,Production Technician - WC60,1984-12-29,2008-12-15
71,Michael,Ray,Production Supervisor - WC30,1989-01-29,2009-02-15
72,Steven,Selikoff,Production Technician - WC30,1977-05-14,2008-12-01
73,Carole,Poland,Production Technician - WC30,1983-10-19,2008-12-19
74,Bjorn,Rettig,Production Technician - WC30,1989-11-06,2009-01-07
75,Michiko,Osada,Production Technician - WC30,1982-06-27,2009-01-26
76,Carol,Philips,Production Technician - WC30,1988-10-17,2009-02-12
77,Merav,Netz,Production Technician - WC30,1983-05-13,2009-03-03
78,Reuben,D'sa,Production Supervisor - WC40,1987-08-27,2008-12-15
79,Eric,Brown,Production Technician - WC40,1966-12-08,2010-01-24
80,Sandeep,Kaliyath,Production Technician - WC40,1970-12-03,2010-01-17
81,Mihail,Frintu,Production Technician - WC40,1971-03-09,2009-12-29
82,Jack,Creasey,Production Technician - WC40,1973-08-29,2010-03-03
83,Patrick,Cook,Production Technician - WC40,1973-12-23,2010-02-12
84,Frank,Martinez,Production Technician - WC40,1952-03-02,2010-02-05
85,Brian,Goldstein,Production Technician - WC40,1970-12-23,2009-12-11
86,Ryan,Cornelsen,Production Technician - WC40,1972-06-13,2009-01-05
87,Cristian,Petculescu,Production Supervisor - WC10,1984-04-11,2008-12-22
88,Betsy,Stadick,Production Technician - WC10,1966-12-17,2009-12-18
89,Patrick,Wedge,Production Technician - WC10,1986-09-10,2010-02-01
90,Danielle,Tiedt,Production Technician - WC10,1986-09-07,2010-02-20
91,Kimberly,Zimmerman,Production Technician - WC10,1986-09-13,2010-01-12
92,Tom,Vande Velde,Production Technician - WC10,1986-10-01,2010-03-10
93,Kok-Ho,Loh,Production Supervisor - WC50,1980-04-28,2008-12-27
94,Russell,Hunter,Production Technician - WC50,1972-11-25,2008-12-12
95,Jim,Scardelis,Production Technician - WC50,1986-09-08,2008-12-19
96,Elizabeth,Keyser,Production Technician - WC50,1990-01-25,2009-03-02
97,Mandar,Samant,Production Technician - WC50,1986-03-21,2009-02-10
98,Sameer,Tejani,Production Technician - WC50,1978-06-26,2009-02-11
99,Nuan,Yu,Production Technician - WC50,1979-03-29,2009-01-06
100,Lolan,Song,Production Technician - WC50,1973-01-24,2009-01-12
101,Houman,Pournasseh,Production Technician - WC50,1971-08-30,2009-01-25
102,Zheng,Mu,Production Supervisor - WC10,1983-10-26,2008-12-03
103,Ebru,Ersan,Production Technician - WC10,1986-09-22,2009-12-06
104,Mary,Baker,Production Technician - WC10,1986-09-19,2009-12-25
105,Kevin,Homer,Production Technician - WC10,1986-09-19,2009-12-25
106,John,Kane,Production Technician - WC10,1986-09-28,2010-02-27
107,Christopher,Hill,Production Technician - WC10,1986-10-01,2010-02-08
108,Jinghao,Liu,Production Supervisor - WC50,1989-02-05,2008-12-08
109,Alice,Ciccu,Production Technician - WC50,1978-01-26,2008-12-07
110,Jun,Cao,Production Technician - WC50,1979-07-06,2008-12-14
111,Suroor,Fatima,Production Technician - WC50,1978-02-25,2008-12-17
112,John,Evans,Production Technician - WC50,1978-05-31,2009-01-01
113,Linda,Moschell,Production Technician - WC50,1987-07-17,2008-12-25
114,Mindaugas,Krapauskas,Production Technician - WC50,1978-05-07,2009-01-13
115,Angela,Barbariol,Production Technician - WC50,1991-05-31,2009-01-20
116,Michael,Patten,Production Technician - WC50,1974-05-03,2009-01-31
117,Chad,Niswonger,Production Technician - WC50,1990-08-04,2009-02-18
118,Don,Hall,Production Technician - WC50,1971-06-13,2009-02-13
119,Michael,Entin,Production Technician - WC50,1989-06-15,2009-02-25
120,Kitti,Lertpiriyasuwat,Production Technician - WC50,1987-06-06,2009-03-04
121,Pilar,Ackerman,Shipping and Receiving Supervisor,1972-09-09,2009-01-02
122,Susan,Eaton,Stocker,1978-02-17,2008-12-07
123,Vamsi,Kuppa,Shipping and Receiving Clerk,1977-03-18,2008-12-07
124,Kim,Ralls,Stocker,1984-04-30,2008-12-26
125,Matthias,Berndt,Shipping and Receiving Clerk,1973-11-11,2009-01-20
126,Jimmy,Bischoff,Stocker,1985-05-04,2009-02-26
127,David,Hamilton,Production Supervisor - WC40,1983-07-02,2009-01-03
128,Paul,Komosinski,Production Technician - WC40,1980-11-13,2008-12-04
129,Gary,Yukish,Production Technician - WC40,1988-05-16,2008-12-22
130,Rob,Caron,Production Technician - WC40,1973-08-04,2009-02-13
131,Baris,Cetinok,Production Technician - WC40,1990-10-07,2009-02-15
132,Nicole,Holliday,Production Technician - WC40,1986-04-09,2009-02-22
133,Michael,Rothkugel,Production Technician - WC40,1991-01-04,2009-01-10
134,Eric,Gubbels,Production Supervisor - WC20,1985-01-19,2009-01-14
135,Ivo,Salmre,Production Technician - WC20,1982-01-03,2008-12-04
136,Sylvester,Valdez,Production Technician - WC20,1970-11-12,2009-12-11
137,Anibal,Sousa,Production Technician - WC20,1974-09-05,2009-02-23
138,Samantha,Smith,Production Technician - WC20,1987-11-22,2009-02-04
139,Hung-Fu,Ting,Production Technician - WC20,1971-10-23,2010-01-06
140,Prasanna,Samarawickrama,Production Technician - WC20,1953-04-30,2010-01-22
141,Min,Su,Production Technician - WC20,1974-09-10,2010-01-24
142,Olinda,Turner,Production Technician - WC20,1970-04-04,2010-03-04
143,Krishna,Sunkammurali,Production Technician - WC20,1971-09-05,2010-02-13
144,Paul,Singh,Production Technician - WC20,1990-11-04,2009-01-17
145,Cynthia,Randall,Production Supervisor - WC30,1981-08-18,2009-01-27
146,Jian Shuo,Wang,Production Technician - WC30,1989-06-25,2008-12-07
147,Sandra,Reátegui Alayo,Production Technician - WC30,1975-11-05,2008-12-26
148,Jason,Watters,Production Technician - WC30,1988-12-07,2009-01-14
149,Andy,Ruth,Production Technician - WC30,1983-10-20,2009-01-31
150,Michael,Vanderhyde,Production Technician - WC30,1982-09-18,2009-02-26
151,Rostislav,Shabalin,Production Technician - WC30,1977-09-13,2009-02-19
152,Yuhong,Li,Production Supervisor - WC20,1977-04-06,2009-02-01
153,Hanying,Feng,Production Technician - WC20,1974-10-16,2008-12-16
154,Raymond,Sam,Production Technician - WC20,1967-03-02,2008-12-23
155,Fadi,Fakhouri,Production Technician - WC20,1989-02-15,2009-01-04
156,Lane,Sacksteder,Production Technician - WC20,1974-09-23,2009-01-11
157,Linda,Randall,Production Technician - WC20,1977-10-05,2009-02-03
158,Shelley,Dyck,Production Technician - WC20,1986-12-08,2009-03-07
159,Terrence,Earls,Production Technician - WC20,1984-12-08,2009-02-16
160,Jeff,Hay,Production Supervisor - WC45,1977-01-15,2009-01-21
161,Kirk,Koenigsbauer,Production Technician - WC45,1985-02-06,2008-12-15
162,Laura,Steele,Production Technician - WC45,1980-12-25,2009-01-03
163,Alex,Nayberg,Production Technician - WC45,1990-04-13,2009-02-08
164,Andrew,Cencini,Production Technician - WC45,1988-09-24,2009-03-06
165,Chris,Preston,Production Technician - WC45,1988-12-16,2009-01-22
166,Jack,Richins,Production Supervisor - WC30,1983-06-22,2009-02-21
167,David,Johnson,Production Technician - WC30,1979-11-02,2008-12-02
168,Garrett,Young,Production Technician - WC30,1984-08-25,2008-12-07
169,Susan,Metters,Production Technician - WC30,1983-04-02,2008-12-14
170,George,Li,Production Technician - WC30,1977-04-16,2008-12-21
171,David,Yalovsky,Production Technician - WC30,1981-08-03,2009-01-02
172,Marc,Ingle,Production Technician - WC30,1986-10-24,2009-01-16
173,Eugene,Zabokritski,Production Technician - WC30,1987-07-15,2009-01-21
174,Benjamin,Martin,Production Technician - WC30,1986-01-05,2009-01-27
175,Reed,Koch,Production Technician - WC30,1989-01-08,2009-02-02
176,David,Lawrence,Production Technician - WC30,1985-09-23,2009-02-14
177,Russell,King,Production Technician - WC30,1982-02-11,2009-02-21
178,John,Frum,Production Technician - WC30,1982-03-24,2009-03-03
179,Jan,Miksovsky,Production Technician - WC30,1974-11-15,2009-03-05
180,Katie,McAskill-White,Production Supervisor - WC20,1984-11-18,2009-02-20
181,Michael,Hines,Production Technician - WC20,1984-11-17,2008-12-09
182,Nitin,Mirchandani,Production Technician - WC20,1986-12-01,2008-12-28
183,Barbara,Decker,Production Technician - WC20,1979-07-02,2009-01-22
184,John,Chen,Production Technician - WC20,1986-04-05,2009-02-09
185,Stefen,Hesse,Production Technician - WC20,1975-12-21,2009-02-28
186,Shane,Kim,Production Supervisor - WC45,1990-05-24,2009-02-08
187,Yvonne,McKay,Production Technician - WC45,1989-04-15,2008-12-09
188,Douglas,Hite,Production Technician - WC45,1985-11-24,2008-12-27
189,Janeth,Esteves,Production Technician - WC45,1972-07-24,2009-01-15
190,Robert,Rounthwaite,Production Technician - WC45,1985-02-28,2009-02-02
191,Lionel,Penuchot,Production Technician - WC45,1988-03-14,2009-02-26
192,Brenda,Diaz,Production Supervisor - WC40,1983-02-28,2009-03-05
193,Alejandro,McGuel,Production Technician - WC40,1988-12-05,2008-12-06
194,Fred,Northup,Production Technician - WC40,1989-06-25,2008-12-12
195,Kevin,Liu,Production Technician - WC40,1985-12-25,2008-12-17
196,Shammi,Mohamed,Production Technician - WC40,1980-10-04,2008-12-24
197,Rajesh,Patel,Production Technician - WC40,1977-10-04,2008-12-31
198,Lorraine,Nay,Production Technician - WC40,1988-11-26,2009-01-04
199,Paula,Nartker,Production Technician - WC40,1987-02-10,2009-01-12
200,Frank,Lee,Production Technician - WC40,1987-09-06,2009-01-17
201,Brian,Lloyd,Production Technician - WC40,1977-02-10,2009-01-29
202,Tawana,Nusbaum,Production Technician - WC40,1989-11-10,2009-02-05
203,Ken,Myer,Production Technician - WC40,1981-05-28,2009-02-24
204,Gabe,Mares,Production Technician - WC40,1988-05-10,2009-03-08
205,Lori,Kane,Production Supervisor - WC45,1980-07-18,2009-02-26
206,Stuart,Munson,Production Technician - WC45,1962-09-13,2008-12-02
207,Greg,Alderson,Production Technician - WC45,1970-10-18,2008-12-02
208,Scott,Gode,Production Technician - WC45,1987-02-10,2009-01-08
209,Kathie,Flood,Production Technician - WC45,1990-11-01,2009-01-27
210,Belinda,Newman,Production Technician - WC45,1969-09-17,2009-02-20
211,Hazem,Abolrous,Quality Assurance Manager,1977-10-26,2009-02-28
212,Peng,Wu,Quality Assurance Supervisor,1976-03-18,2008-12-09
213,Sootha,Charncherngkha,Quality Assurance Technician,1966-12-05,2010-02-23
214,Andreas,Berglund,Quality Assurance Technician,1989-03-28,2009-02-02
215,Mark,Harrington,Quality Assurance Technician,1986-04-30,2009-01-15
216,Sean,Alexander,Quality Assurance Technician,1976-03-06,2008-12-28
217,Zainal,Arifin,Document Control Manager,1976-01-30,2009-01-04
218,Tengiz,Kharatishvili,Control Specialist,1990-04-28,2008-12-16
219,Sean,Chai,Document Control Assistant,1987-03-12,2009-01-22
220,Karen,Berge,Document Control Assistant,1975-12-25,2009-02-09
221,Chris,Norred,Control Specialist,1987-05-26,2009-03-06
222,A. Scott,Wright,Master Scheduler,1968-09-17,2008-12-12
223,Sairaj,Uddin,Scheduling Assistant,1987-12-22,2009-01-26
224,William,Vong,Scheduling Assistant,1981-11-06,2009-01-07
225,Alan,Brewer,Scheduling Assistant,1984-03-29,2009-02-13
226,Brian,LaMee,Scheduling Assistant,1984-08-11,2009-03-03
227,Gary,Altman,Facilities Manager,1971-02-18,2009-12-02
228,Christian,Kleinerman,Maintenance Supervisor,1976-01-18,2008-12-14
229,Lori,Penor,Janitor,1970-07-31,2010-02-16
230,Stuart,Macrae,Janitor,1971-12-17,2010-03-05
231,Jo,Berry,Janitor,1954-04-24,2010-03-07
232,Pat,Coleman,Janitor,1970-12-03,2010-01-27
233,Magnus,Hedlund,Facilities Administrative Assistant,1971-08-27,2009-12-21
234,Laura,Norman,Chief Financial Officer,1976-01-06,2009-01-31
235,Paula,Barreto de Mattos,Human Resources Manager,1976-02-11,2008-12-06
236,Grant,Culbertson,Human Resources Administrative Assistant,1976-04-16,2009-02-25
237,Hao,Chen,Human Resources Administrative Assistant,1977-04-17,2009-02-06
238,Vidur,Luthra,Recruiter,1984-08-01,2009-01-01
239,Mindy,Martin,Benefits Specialist,1984-11-20,2008-12-25
240,Willis,Johnson,Recruiter,1978-07-18,2008-12-13
241,David,Liu,Accounts Manager,1983-07-08,2009-01-30
242,Deborah,Poe,Accounts Receivable Specialist,1976-03-06,2008-12-18
243,Candy,Spoon,Accounts Receivable Specialist,1976-02-23,2009-01-06
244,Bryan,Walton,Accounts Receivable Specialist,1984-09-20,2009-01-24
245,Barbara,Moreland,Accountant,1976-01-04,2009-02-18
246,Dragan,Tomic,Accounts Payable Specialist,1977-02-14,2009-02-11
247,Janet,Sheperdigian,Accounts Payable Specialist,1979-03-09,2009-03-01
248,Mike,Seamans,Accountant,1979-07-01,2009-03-08
249,Wendy,Kahn,Finance Manager,1984-10-11,2008-12-25
250,Sheela,Word,Purchasing Manager,1978-02-10,2011-02-25
251,Mikael,Sandberg,Buyer,1984-08-17,2009-02-10
252,Arvind,Rao,Buyer,1974-08-21,2009-02-28
253,Linda,Meisner,Buyer,1970-11-30,2009-12-17
254,Fukiko,Ogisu,Buyer,1970-11-24,2010-01-04
255,Gordon,Hee,Buyer,1966-11-29,2010-01-11
256,Frank,Pellow,Buyer,1952-05-12,2010-01-23
257,Eric,Kurjan,Buyer,1972-09-17,2010-01-27
258,Erin,Hagens,Buyer,1971-01-04,2010-01-31
259,Ben,Miller,Buyer,1973-06-03,2010-03-09
260,Annette,Hill,Purchasing Assistant,1978-01-29,2010-12-06
261,Reinout,Hillmann,Purchasing Assistant,1978-01-17,2010-12-25
262,David,Barber,Assistant to the Chief Financial Officer,1964-06-21,2009-01-12
263,Jean,Trenary,Information Services Manager,1975-12-13,2008-12-11
264,Stephanie,Conroy,Network Manager,1984-03-25,2009-02-04
265,Ashvini,Sharma,Network Administrator,1977-03-27,2008-12-04
266,Peter,Connelly,Network Administrator,1980-05-28,2009-02-23
267,Karen,Berg,Application Specialist,1978-05-19,2009-02-16
268,Ramesh,Meyyappan,Application Specialist,1988-03-13,2009-02-03
269,Dan,Bacon,Application Specialist,1987-05-26,2009-01-11
270,François,Ajenstat,Database Administrator,1975-05-17,2009-01-17
271,Dan,Wilson,Database Administrator,1976-01-06,2009-01-22
272,Janaina,Bueno,Application Specialist,1985-01-30,2008-12-23
273,Brian,Welcker,Vice President of Sales,1977-06-06,2011-02-15
274,Stephen,Jiang,North American Sales Manager,1951-10-17,2011-01-04
275,Michael,Blythe,Sales Representative,1968-12-25,2011-05-31
276,Linda,Mitchell,Sales Representative,1980-02-27,2011-05-31
277,Jillian,Carson,Sales Representative,1962-08-29,2011-05-31
278,Garrett,Vargas,Sales Representative,1975-02-04,2011-05-31
279,Tsvi,Reiter,Sales Representative,1974-01-18,2011-05-31
280,Pamela,Ansman-Wolfe,Sales Representative,1974-12-06,2011-05-31
281,Shu,Ito,Sales Representative,1968-03-09,2011-05-31
282,José,Saraiva,Sales Representative,1963-12-11,2011-05-31
283,David,Campbell,Sales Representative,1974-02-11,2011-05-31
284,Tete,Mensa-Annan,Sales Representative,1978-01-05,2012-09-30
285,Syed,Abbas,Pacific Sales Manager,1975-01-11,2013-03-14
286,Lynn,Tsoflias,Sales Representative,1977-02-14,2013-05-30
287,Amy,Alberts,European Sales Manager,1957-09-20,2012-04-16
288,Rachel,Valdez,Sales Representative,1975-07-09,2013-05-30
289,Jae,Pak,Sales Representative,1968-03-17,2012-05-30
290,Ranjit,Varkey Chudukatil,Sales Representative,1975-09-30,2012-05-30
